id;category;product_number;image_id;product_name;description;quantity;package;price
1;Eend;1007001;1;Wilde eend;Jonge wilde eend panklaar;1;1 stuks; 9.75 
2;Eend;1007024;6;Wilde eendenfilets;Wilde eendenfilets;1;1 x 2 stuks; 11.00 
3;Fazant;1007201;2;Fazanten haan;Fazanten haan gebardeerd;1;1 stuks; 11.50 
4;Fazant;1007224;9;Fazanten haan filets;Per 2 stuks ;1;1 x 2 stuks; 13.00 
5;Fazant;1007221;7;Fazanten haan suprème;Fazantenfilets met vleugelstick. Per 2 stuks ;1;1 x 2 stuks; 13.00
6;Fazant;1007401;3;Fazanten hen;Fazanten hen gebardeerd panklaar;1;1 stuks; 9.75
7;Fazant;1007424;10;Fazanten hen filets;Per 2 stuks;1;1 x 2 stuks; 11.25 
8;Fazant;1007421;8;Fazanten hen suprème;Fazantenfilets met vleugelstick. Per 2 stuks ;1;1 x 2 stuks; 11.25 
9;Patrijs;1007702;4;Roodpootpatrijs;Panklaar gebardeerd;1;1 stuks; 7.50
10;Patrijs;1007722;11;Roodpootpatrijs gefileerd;Roodpootpatrijs gefileerd. 2 pootjes en 2 borsten.;1;1 stuks; 8.75
